msa-code,metro-code,metro-name,program,limit-type,median-price,limit-1-unit,limit-2-units,limit-3-units,limit-4-units,state,county-fips,state-name,county-name,county-transaction-date,limit-transaction-date,median-price-determining-limit,year-for-median-determining-limit
,,,ZZ203,S,,0970800,1243050,1502475,1867275,,,,,,20220101,,
,,,203B,S,,0420680,0538650,0651050,0809150,,,,,,20220101,,
99999,00000,NON-METRO,203B,S,0136000,0420680,0538650,0651050,0809150,AK,013,ALASKA,ALEUTIANS EAST,,20220101,0214000,2013
99999,00000,NON-METRO,203B,H,0461000,0545100,0697800,0843500,1048300,AK,016,ALASKA,ALEUTIANS WEST,,20210101,0474000,2020
11260,00000,"ANCHORAGE, AK",203B,H,0392000,0450800,0577100,0697600,0866950,AK,020,ALASKA,ANCHORAGE MUNIC,,20220101,0392000,2021
99999,00000,NON-METRO,203B,S,0095000,0420680,0538650,0651050,0809150,AK,050,ALASKA,BETHEL CENSUS A,,20220101,0208000,2015
99999,00000,NON-METRO,203B,S,0214000,0420680,0538650,0651050,0809150,AK,060,ALASKA,BRISTOL BAY BOR,,20220101,0298000,2020
99999,00000,NON-METRO,203B,S,0265000,0420680,0538650,0651050,0809150,AK,068,ALASKA,DENALI BOROUGH,,20220101,0265000,2021
99999,00000,NON-METRO,203B,S,0208000,0420680,0538650,0651050,0809150,AK,070,ALASKA,DILLINGHAM CENS,,20220101,0259000,2017
21820,00000,"FAIRBANKS, AK",203B,S,0285000,0420680,0538650,0651050,0809150,AK,090,ALASKA,FAIRBANKS NORTH,,20220101,0285000,2021
99999,00000,NON-METRO,203B,S,0188000,0420680,0538650,0651050,0809150,AK,100,ALASKA,HAINES BOROUGH,,20220101,0256000,2018
99999,00000,NON-METRO,203B,S,0125000,0420680,0538650,0651050,0809150,AK,105,ALASKA,HOONAH-ANGOON C,,20220101,0253000,2019
27940,00000,"JUNEAU, AK",203B,H,0445000,0511750,0655150,0791900,0984150,AK,110,ALASKA,JUNEAU CITY AND,,20220101,0445000,2021
99999,00000,NON-METRO,203B,S,0267000,0420680,0538650,0651050,0809150,AK,122,ALASKA,KENAI PENINSULA,,20220101,0267000,2021
28540,00000,"KETCHIKAN, AK",203B,S,0365000,0420680,0538650,0651050,0809150,AK,130,ALASKA,KETCHIKAN GATEW,,20220101,0365000,2021
