msa-code,metro-code,metro-name,program,limit-type,median-price,limit-1-unit,limit-2-units,limit-3-units,limit-4-units,state,county-fips,state-name,county-name,county-transaction-date,limit-transaction-date,median-price-determining-limit,year-for-median-determining-limit
,,,ZZGSE,S,,0822375,1053000,1272750,1581750,,,,,,20201120,,
,,,GSE,S,,0548250,0702000,0848500,1054500,,,,,,20210101,,
99999,00000,NON-METRO,GSE,S,0136000,0822375,1053000,1272750,1581750,AK,013,ALASKA,ALEUTIANS EAST,20200101,20210101,0214000,2013
99999,00000,NON-METRO,GSE,S,0474000,0822375,1053000,1272750,1581750,AK,016,ALASKA,ALEUTIANS WEST,20200101,20210101,0474000,2020
11260,00000,"ANCHORAGE, AK",GSE,S,0363000,0822375,1053000,1272750,1581750,AK,020,ALASKA,ANCHORAGE MUNIC,20200101,20210101,0363000,2020
99999,00000,NON-METRO,GSE,S,0122000,0822375,1053000,1272750,1581750,AK,050,ALASKA,BETHEL CENSUS A,20200101,20210101,0208000,2015
99999,00000,NON-METRO,GSE,S,0298000,0822375,1053000,1272750,1581750,AK,060,ALASKA,BRISTOL BAY BOR,20200101,20210101,0298000,2020
99999,00000,NON-METRO,GSE,S,0225000,0822375,1053000,1272750,1581750,AK,068,ALASKA,DENALI BOROUGH,20200101,20210101,0259000,2013
99999,00000,NON-METRO,GSE,S,0203000,0822375,1053000,1272750,1581750,AK,070,ALASKA,DILLINGHAM CENS,20200101,20210101,0259000,2017
21820,00000,"FAIRBANKS, AK",GSE,S,0270000,0822375,1053000,1272750,1581750,AK,090,ALASKA,FAIRBANKS NORTH,20200101,20210101,0270000,2020
99999,00000,NON-METRO,GSE,S,0250000,0822375,1053000,1272750,1581750,AK,100,ALASKA,HAINES BOROUGH,20200101,20210101,0256000,2018
99999,00000,NON-METRO,GSE,S,0253000,0822375,1053000,1272750,1581750,AK,105,ALASKA,HOONAH-ANGOON C,20200101,20210101,0253000,2019
27940,00000,"JUNEAU, AK",GSE,S,0420000,0822375,1053000,1272750,1581750,AK,110,ALASKA,JUNEAU CITY AND,20200101,20210101,0420000,2020
99999,00000,NON-METRO,GSE,S,0240000,0822375,1053000,1272750,1581750,AK,122,ALASKA,KENAI PENINSULA,20200101,20210101,0240000,2020
28540,00000,"KETCHIKAN, AK",GSE,S,0354000,0822375,1053000,1272750,1581750,AK,130,ALASKA,KETCHIKAN GATEW,20200101,20210101,0354000,2020
99999,00000,NON-METRO,GSE,S,0363000,0822375,1053000,1272750,1581750,AK,150,ALASKA,KODIAK ISLAND B,20200101,20210101,0363000,2020
99999,00000,NON-METRO,GSE,S,0084000,0822375,1053000,1272750,1581750,AK,158,ALASKA,KUSILVAK CENSUS,20200101,20210101,0161000,2013
99999,00000,NON-METRO,GSE,S,0133000,0822375,1053000,1272750,1581750,AK,164,ALASKA,LAKE AND PENINS,20200101,20210101,0164000,2016
11260,00000,"ANCHORAGE, AK",GSE,S,0363000,0822375,1053000,1272750,1581750,AK,170,ALASKA,MATANUSKA-SUSIT,20200101,20210101,0363000,2020
99999,00000,NON-METRO,GSE,S,0383000,0822375,1053000,1272750,1581750,AK,180,ALASKA,NOME CENSUS ARE,20200101,20210101,0383000,2020
99999,00000,NON-METRO,GSE,S,0211000,0822375,1053000,1272750,1581750,AK,185,ALASKA,NORTH SLOPE BOR,20200101,20210101,0289000,2013
99999,00000,NON-METRO,GSE,S,0146000,0822375,1053000,1272750,1581750,AK,188,ALASKA,NORTHWEST ARCTI,20200101,20210101,0204000,2016
99999,00000,NON-METRO,GSE,S,0236000,0822375,1053000,1272750,1581750,AK,195,ALASKA,PETERSBURG CENS,20200101,20210101,0289000,2013
99999,00000,NON-METRO,GSE,S,0191000,0822375,1053000,1272750,1581750,AK,198,ALASKA,PRINCE OF WALES,20200101,20210101,0225000,2013
99999,00000,NON-METRO,GSE,S,0388000,0822375,1053000,1272750,1581750,AK,220,ALASKA,SITKA CITY AND,20200101,20210101,0423000,2018
99999,00000,NON-METRO,GSE,S,0348000,0822375,1053000,1272750,1581750,AK,230,ALASKA,SKAGWAY MUNICIP,20200101,20210101,0361000,2016
99999,00000,NON-METRO,GSE,S,0204000,0822375,1053000,1272750,1581750,AK,240,ALASKA,SOUTHEAST FAIRB,20200101,20210101,0228000,2016
99999,00000,NON-METRO,GSE,S,0269000,0822375,1053000,1272750,1581750,AK,261,ALASKA,VALDEZ-CORDOVA,20200101,20210101,0281000,2019
99999,00000,NON-METRO,GSE,S,0235000,0822375,1053000,1272750,1581750,AK,275,ALASKA,WRANGELL CITY A,20200101,20210101,0289000,2013
99999,00000,NON-METRO,GSE,S,0193000,0822375,1053000,1272750,1581750,AK,282,ALASKA,YAKUTAT CITY AN,20200101,20210101,0366000,2013
99999,00000,NON-METRO,GSE,S,0086000,0822375,1053000,1272750,1581750,AK,290,ALASKA,YUKON-KOYUKUK C,20200101,20210101,0117000,2015
33860,00000,"MONTGOMERY, AL",GSE,S,0169000,0548250,0702000,0848500,1054500,AL,001,ALABAMA,AUTAUGA,20200101,20210101,0172000,2011
19300,00000,"DAPHNE-FAIRHOPE-FOLEY, AL",GSE,S,0210000,0548250,0702000,0848500,1054500,AL,003,ALABAMA,BALDWIN,20200101,20210101,0210000,2020
21640,00000,"EUFAULA, AL-GA",GSE,S,0106000,0548250,0702000,0848500,1054500,AL,005,ALABAMA,BARBOUR,20200101,20210101,0126000,2010
13820,00000,"BIRMINGHAM-HOOVER, AL",GSE,S,0229000,0548250,0702000,0848500,1054500,AL,007,ALABAMA,BIBB,20200101,20210101,0229000,2020
13820,00000,"BIRMINGHAM-HOOVER, AL",GSE,S,0229000,0548250,0702000,0848500,1054500,AL,009,ALABAMA,BLOUNT,20200101,20210101,0229000,2020
99999,00000,NON-METRO,GSE,S,0089000,0548250,0702000,0848500,1054500,AL,011,ALABAMA,BULLOCK,20200101,20210101,0089000,2020
99999,00000,NON-METRO,GSE,S,0043000,0548250,0702000,0848500,1054500,AL,013,ALABAMA,BUTLER,20200101,20210101,0099000,2019
11500,00000,"ANNISTON-OXFORD, AL",GSE,S,0123000,0548250,0702000,0848500,1054500,AL,015,ALABAMA,CALHOUN,20200101,20210101,0137000,2019
29300,00000,"LAGRANGE, GA-AL",GSE,S,0139000,0548250,0702000,0848500,1054500,AL,017,ALABAMA,CHAMBERS,20200101,20210101,0139000,2020
99999,00000,NON-METRO,GSE,S,0141000,0548250,0702000,0848500,1054500,AL,019,ALABAMA,CHEROKEE,20200101,20210101,0141000,2020
13820,00000,"BIRMINGHAM-HOOVER, AL",GSE,S,0229000,0548250,0702000,0848500,1054500,AL,021,ALABAMA,CHILTON,20200101,20210101,0229000,2020
99999,00000,NON-METRO,GSE,S,0086000,0548250,0702000,0848500,1054500,AL,023,ALABAMA,CHOCTAW,20200101,20210101,0086000,2020
99999,00000,NON-METRO,GSE,S,0115000,0548250,0702000,0848500,1054500,AL,025,ALABAMA,CLARKE,20200101,20210101,0115000,2020
99999,00000,NON-METRO,GSE,S,0055000,0548250,0702000,0848500,1054500,AL,027,ALABAMA,CLAY,20200101,20210101,0087000,2010
99999,00000,NON-METRO,GSE,S,0177000,0548250,0702000,0848500,1054500,AL,029,ALABAMA,CLEBURNE,20200101,20210101,0177000,2020
21460,00000,"ENTERPRISE, AL",GSE,S,0142000,0548250,0702000,0848500,1054500,AL,031,ALABAMA,COFFEE,20200101,20210101,0142000,2020
22520,00000,"FLORENCE-MUSCLE SHOALS, AL",GSE,S,0157000,0548250,0702000,0848500,1054500,AL,033,ALABAMA,COLBERT,20200101,20210101,0176000,2019
99999,00000,NON-METRO,GSE,S,0088000,0548250,0702000,0848500,1054500,AL,035,ALABAMA,CONECUH,20200101,20210101,0088000,2020
10760,00000,"ALEXANDER CITY, AL",GSE,S,0123000,0548250,0702000,0848500,1054500,AL,037,ALABAMA,COOSA,20200101,20210101,0195000,2016
99999,00000,NON-METRO,GSE,S,0082000,0548250,0702000,0848500,1054500,AL,039,ALABAMA,COVINGTON,20200101,20210101,0082000,2010
99999,00000,NON-METRO,GSE,S,0091000,0548250,0702000,0848500,1054500,AL,041,ALABAMA,CRENSHAW,20200101,20210101,0091000,2020
18980,00000,"CULLMAN, AL",GSE,S,0123000,0548250,0702000,0848500,1054500,AL,043,ALABAMA,CULLMAN,20200101,20210101,0123000,2020
37120,00000,"OZARK, AL",GSE,S,0088000,0548250,0702000,0848500,1054500,AL,045,ALABAMA,DALE,20200101,20210101,0118000,2012
42820,00000,"SELMA, AL",GSE,S,0055000,0548250,0702000,0848500,1054500,AL,047,ALABAMA,DALLAS,20200101,20210101,0097000,2010
22840,00000,"FORT PAYNE, AL",GSE,S,0119000,0548250,0702000,0848500,1054500,AL,049,ALABAMA,DEKALB,20200101,20210101,0146000,2019
33860,00000,"MONTGOMERY, AL",GSE,S,0169000,0548250,0702000,0848500,1054500,AL,051,ALABAMA,ELMORE,20200101,20210101,0172000,2011
12120,00000,"ATMORE, AL",GSE,S,0112000,0548250,0702000,0848500,1054500,AL,053,ALABAMA,ESCAMBIA,20200101,20210101,0112000,2020
23460,00000,"GADSDEN, AL",GSE,S,0160000,0548250,0702000,0848500,1054500,AL,055,ALABAMA,ETOWAH,20200101,20210101,0160000,2020
99999,00000,NON-METRO,GSE,S,0056000,0548250,0702000,0848500,1054500,AL,057,ALABAMA,FAYETTE,20200101,20210101,0111000,2010
99999,00000,NON-METRO,GSE,S,0075000,0548250,0702000,0848500,1054500,AL,059,ALABAMA,FRANKLIN,20200101,20210101,0092000,2010
20020,00000,"DOTHAN, AL",GSE,S,0137000,0548250,0702000,0848500,1054500,AL,061,ALABAMA,GENEVA,20200101,20210101,0171000,2011
46220,00000,"TUSCALOOSA, AL",GSE,S,0249000,0548250,0702000,0848500,1054500,AL,063,ALABAMA,GREENE,20200101,20210101,0288000,2015
46220,00000,"TUSCALOOSA, AL",GSE,S,0249000,0548250,0702000,0848500,1054500,AL,065,ALABAMA,HALE,20200101,20210101,0288000,2015
20020,00000,"DOTHAN, AL",GSE,S,0137000,0548250,0702000,0848500,1054500,AL,067,ALABAMA,HENRY,20200101,20210101,0171000,2011
20020,00000,"DOTHAN, AL",GSE,S,0137000,0548250,0702000,0848500,1054500,AL,069,ALABAMA,HOUSTON,20200101,20210101,0171000,2011
42460,00000,"SCOTTSBORO, AL",GSE,S,0120000,0548250,0702000,0848500,1054500,AL,071,ALABAMA,JACKSON,20200101,20210101,0120000,2020
13820,00000,"BIRMINGHAM-HOOVER, AL",GSE,S,0229000,0548250,0702000,0848500,1054500,AL,073,ALABAMA,JEFFERSON,20200101,20210101,0229000,2020
99999,00000,NON-METRO,GSE,S,0088000,0548250,0702000,0848500,1054500,AL,075,ALABAMA,LAMAR,20200101,20210101,0096000,2010
22520,00000,"FLORENCE-MUSCLE SHOALS, AL",GSE,S,0157000,0548250,0702000,0848500,1054500,AL,077,ALABAMA,LAUDERDALE,20200101,20210101,0176000,2019
19460,00000,"DECATUR, AL",GSE,S,0138000,0548250,0702000,0848500,1054500,AL,079,ALABAMA,LAWRENCE,20200101,20210101,0156000,2015
