msa-code,metro-code,metro-name,program,limit-type,median-price,limit-1-unit,limit-2-units,limit-3-units,limit-4-units,state,county-fips,state-name,county-name,county-transaction-date,limit-transaction-date,median-price-determining-limit,year-for-median-determining-limit
,,,ZZGSE,S,,0970800,1243050,1502475,1867275,,,,,,20220101,,
,,,GSE,S,,0647200,0828700,1001650,1244850,,,,,,20220101,,
99999,00000,NON-METRO,GSE,S,0136000,0970800,1243050,1502475,1867275,AK,013,ALASKA,ALEUTIANS EAST,,20220101,0214000,2013
99999,00000,NON-METRO,GSE,S,0461000,0970800,1243050,1502475,1867275,AK,016,ALASKA,ALEUTIANS WEST,,20220101,0474000,2020
11260,00000,"ANCHORAGE, AK",GSE,S,0392000,0970800,1243050,1502475,1867275,AK,020,ALASKA,ANCHORAGE MUNIC,,20220101,0392000,2021
99999,00000,NON-METRO,GSE,S,0095000,0970800,1243050,1502475,1867275,AK,050,ALASKA,BETHEL CENSUS A,,20220101,0208000,2015
99999,00000,NON-METRO,GSE,S,0214000,0970800,1243050,1502475,1867275,AK,060,ALASKA,BRISTOL BAY BOR,,20220101,0298000,2020
99999,00000,NON-METRO,GSE,S,0265000,0970800,1243050,1502475,1867275,AK,068,ALASKA,DENALI BOROUGH,,20220101,0265000,2021
99999,00000,NON-METRO,GSE,S,0208000,0970800,1243050,1502475,1867275,AK,070,ALASKA,DILLINGHAM CENS,,20220101,0259000,2017
21820,00000,"FAIRBANKS, AK",GSE,S,0285000,0970800,1243050,1502475,1867275,AK,090,ALASKA,FAIRBANKS NORTH,,20220101,0285000,2021
99999,00000,NON-METRO,GSE,S,0188000,0970800,1243050,1502475,1867275,AK,100,ALASKA,HAINES BOROUGH,,20220101,0256000,2018
99999,00000,NON-METRO,GSE,S,0125000,0970800,1243050,1502475,1867275,AK,105,ALASKA,HOONAH-ANGOON C,,20220101,0253000,2019
27940,00000,"JUNEAU, AK",GSE,S,0445000,0970800,1243050,1502475,1867275,AK,110,ALASKA,JUNEAU CITY AND,,20220101,0445000,2021
99999,00000,NON-METRO,GSE,S,0267000,0970800,1243050,1502475,1867275,AK,122,ALASKA,KENAI PENINSULA,,20220101,0267000,2021
28540,00000,"KETCHIKAN, AK",GSE,S,0365000,0970800,1243050,1502475,1867275,AK,130,ALASKA,KETCHIKAN GATEW,,20220101,0365000,2021
99999,00000,NON-METRO,GSE,S,0394000,0970800,1243050,1502475,1867275,AK,150,ALASKA,KODIAK ISLAND B,,20220101,0394000,2021
99999,00000,NON-METRO,GSE,S,0081000,0970800,1243050,1502475,1867275,AK,158,ALASKA,KUSILVAK CENSUS,,20220101,0161000,2013
99999,00000,NON-METRO,GSE,S,0131000,0970800,1243050,1502475,1867275,AK,164,ALASKA,LAKE AND PENINS,,20220101,0164000,2016
11260,00000,"ANCHORAGE, AK",GSE,S,0392000,0970800,1243050,1502475,1867275,AK,170,ALASKA,MATANUSKA-SUSIT,,20220101,0392000,2021
99999,00000,NON-METRO,GSE,S,0357000,0970800,1243050,1502475,1867275,AK,180,ALASKA,NOME CENSUS ARE,,20220101,0383000,2020
99999,00000,NON-METRO,GSE,S,0214000,0970800,1243050,1502475,1867275,AK,185,ALASKA,NORTH SLOPE BOR,,20220101,0289000,2013
99999,00000,NON-METRO,GSE,S,0161000,0970800,1243050,1502475,1867275,AK,188,ALASKA,NORTHWEST ARCTI,,20220101,0204000,2016
99999,00000,NON-METRO,GSE,S,0222000,0970800,1243050,1502475,1867275,AK,195,ALASKA,PETERSBURG CENS,,20220101,0289000,2013
99999,00000,NON-METRO,GSE,S,0165000,0970800,1243050,1502475,1867275,AK,198,ALASKA,PRINCE OF WALES,,20220101,0225000,2013
99999,00000,NON-METRO,GSE,S,0438000,0970800,1243050,1502475,1867275,AK,220,ALASKA,SITKA CITY AND,,20220101,0438000,2021
99999,00000,NON-METRO,GSE,S,0384000,0970800,1243050,1502475,1867275,AK,230,ALASKA,SKAGWAY MUNICIP,,20220101,0384000,2021
99999,00000,NON-METRO,GSE,S,0161000,0970800,1243050,1502475,1867275,AK,240,ALASKA,SOUTHEAST FAIRB,,20220101,0228000,2016
