msa-code,metro-code,metro-name,program,limit-type,median-price,limit-1-unit,limit-2-units,limit-3-units,limit-4-units,state,county-fips,state-name,county-name,county-transaction-date,limit-transaction-date,median-price-determining-limit,year-for-median-determining-limit
,,,ZZGSE,S,,0679650,0870225,1051875,1307175,,,,,,20171201,,
,,,GSE,S,,0453100,0580150,0701250,0871450,,,,,,20171231,,
99999,00000,NON-METRO,GSE,H,0101000,0679650,0870225,1051875,1307175,AK,013,ALASKA,ALEUTIANS EAST,20171201,20171231,0214000,2013
99999,00000,NON-METRO,GSE,H,0226000,0679650,0870225,1051875,1307175,AK,016,ALASKA,ALEUTIANS WEST,20171201,20171231,0335000,2013
11260,00000,"ANCHORAGE, AK",GSE,H,0343000,0679650,0870225,1051875,1307175,AK,020,ALASKA,ANCHORAGE MUNIC,20171201,20171231,0345000,2016
99999,00000,NON-METRO,GSE,H,0172000,0679650,0870225,1051875,1307175,AK,050,ALASKA,BETHEL CENSUS A,20171201,20171231,0208000,2015
99999,00000,NON-METRO,GSE,H,0194000,0679650,0870225,1051875,1307175,AK,060,ALASKA,BRISTOL BAY BOR,20171201,20171231,0273000,2015
99999,00000,NON-METRO,GSE,H,0197000,0679650,0870225,1051875,1307175,AK,068,ALASKA,DENALI BOROUGH,20171201,20171231,0259000,2013
99999,00000,NON-METRO,GSE,H,0259000,0679650,0870225,1051875,1307175,AK,070,ALASKA,DILLINGHAM CENS,20171201,20171231,0259000,2017
21820,00000,"FAIRBANKS, AK",GSE,H,0238000,0679650,0870225,1051875,1307175,AK,090,ALASKA,FAIRBANKS NORTH,20171201,20171231,0239000,2013
99999,00000,NON-METRO,GSE,H,0217000,0679650,0870225,1051875,1307175,AK,100,ALASKA,HAINES BOROUGH,20171201,20171231,0247000,2012
99999,00000,NON-METRO,GSE,H,0236000,0679650,0870225,1051875,1307175,AK,105,ALASKA,HOONAH-ANGOON C,20171201,20171231,0245000,2016
27940,00000,"JUNEAU, AK",GSE,H,0372000,0679650,0870225,1051875,1307175,AK,110,ALASKA,JUNEAU CITY AND,20171201,20171231,0372000,2017
99999,00000,NON-METRO,GSE,H,0210000,0679650,0870225,1051875,1307175,AK,122,ALASKA,KENAI PENINSULA,20171201,20171231,0219000,2016
28540,00000,"KETCHIKAN, AK",GSE,H,0294000,0679650,0870225,1051875,1307175,AK,130,ALASKA,KETCHIKAN GATEW,20171201,20171231,0294000,2017
99999,00000,NON-METRO,GSE,H,0332000,0679650,0870225,1051875,1307175,AK,150,ALASKA,KODIAK ISLAND B,20171201,20171231,0332000,2013
99999,00000,NON-METRO,GSE,H,0112000,0679650,0870225,1051875,1307175,AK,158,ALASKA,KUSILVAK CENSUS,20171201,20171231,0161000,2013
99999,00000,NON-METRO,GSE,H,0151000,0679650,0870225,1051875,1307175,AK,164,ALASKA,LAKE AND PENINS,20171201,20171231,0164000,2016
11260,00000,"ANCHORAGE, AK",GSE,H,0343000,0679650,0870225,1051875,1307175,AK,170,ALASKA,MATANUSKA-SUSIT,20171201,20171231,0345000,2016
99999,00000,NON-METRO,GSE,H,0340000,0679650,0870225,1051875,1307175,AK,180,ALASKA,NOME CENSUS ARE,20171201,20171231,0340000,2017
99999,00000,NON-METRO,GSE,H,0146000,0679650,0870225,1051875,1307175,AK,185,ALASKA,NORTH SLOPE BOR,20171201,20171231,0289000,2013
99999,00000,NON-METRO,GSE,H,0179000,0679650,0870225,1051875,1307175,AK,188,ALASKA,NORTHWEST ARCTI,20171201,20171231,0204000,2016
99999,00000,NON-METRO,GSE,H,0227000,0679650,0870225,1051875,1307175,AK,195,ALASKA,PETERSBURG CENS,20171201,20171231,0289000,2013
99999,00000,NON-METRO,GSE,H,0169000,0679650,0870225,1051875,1307175,AK,198,ALASKA,PRINCE OF WALES,20171201,20171231,0225000,2013
99999,00000,NON-METRO,GSE,H,0399000,0679650,0870225,1051875,1307175,AK,220,ALASKA,SITKA CITY AND,20171201,20171231,0399000,2017
99999,00000,NON-METRO,GSE,H,0336000,0679650,0870225,1051875,1307175,AK,230,ALASKA,SKAGWAY MUNICIP,20171201,20171231,0361000,2016
99999,00000,NON-METRO,GSE,H,0224000,0679650,0870225,1051875,1307175,AK,240,ALASKA,SOUTHEAST FAIRB,20171201,20171231,0228000,2016
99999,00000,NON-METRO,GSE,H,0208000,0679650,0870225,1051875,1307175,AK,261,ALASKA,VALDEZ-CORDOVA,20171201,20171231,0255000,2013
99999,00000,NON-METRO,GSE,H,0178000,0679650,0870225,1051875,1307175,AK,275,ALASKA,WRANGELL CITY A,20171201,20171231,0289000,2013
99999,00000,NON-METRO,GSE,H,0152000,0679650,0870225,1051875,1307175,AK,282,ALASKA,YAKUTAT CITY AN,20171201,20171231,0366000,2013
99999,00000,NON-METRO,GSE,H,0092000,0679650,0870225,1051875,1307175,AK,290,ALASKA,YUKON-KOYUKUK C,20171201,20171231,0117000,2015
33860,00000,"MONTGOMERY, AL",GSE,S,0145000,0453100,0580150,0701250,0871450,AL,001,ALABAMA,AUTAUGA,20171201,20171231,0172000,2011
19300,00000,"DAPHNE-FAIRHOPE-FOLEY, AL",GSE,S,0183000,0453100,0580150,0701250,0871450,AL,003,ALABAMA,BALDWIN,20171201,20171231,0195000,2008
21640,00000,"EUFAULA, AL-GA",GSE,S,0097000,0453100,0580150,0701250,0871450,AL,005,ALABAMA,BARBOUR,20171201,20171231,0126000,2010
