msa-code,metro-code,metro-name,program,limit-type,median-price,limit-1-unit,limit-2-units,limit-3-units,limit-4-units,state,county-fips,state-name,county-name,county-transaction-date,limit-transaction-date,median-price-determining-limit,year-for-median-determining-limit
,,,ZZ203,S,,1149825,1472250,1779525,2211600,,,,,,20231115,,
,,,203B,S,,0498257,0637950,0771125,0958350,,,,,,20240101,,
99999,00000,NON-METRO,203B,S,0194000,0498257,0637950,0771125,0958350,AK,013,ALASKA,ALEUTIANS EAST,,20240101,0214000,2013
99999,00000,NON-METRO,203B,H,0450000,0545100,0697800,0843500,1048300,AK,016,ALASKA,ALEUTIANS WEST,,20210101,0474000,2020
11260,00000,"ANCHORAGE, AK",203B,S,0420000,0498257,0637950,0771125,0958350,AK,020,ALASKA,ANCHORAGE MUNIC,,20240101,0420000,2023
99999,00000,NON-METRO,203B,S,0151000,0498257,0637950,0771125,0958350,AK,050,ALASKA,BETHEL CENSUS A,,20240101,0208000,2015
99999,00000,NON-METRO,203B,S,0345000,0498257,0637950,0771125,0958350,AK,060,ALASKA,BRISTOL BAY BOR,,20240101,0345000,2023
99999,00000,NON-METRO,203B,S,0253000,0498257,0637950,0771125,0958350,AK,063,ALASKA,CHUGACH CENSUS,,20240101,0320000,2022
99999,00000,NON-METRO,203B,S,0253000,0498257,0637950,0771125,0958350,AK,066,ALASKA,COPPER RIVER CE,,20240101,0320000,2022
99999,00000,NON-METRO,203B,S,0273000,0498257,0637950,0771125,0958350,AK,068,ALASKA,DENALI BOROUGH,,20240101,0297000,2022
99999,00000,NON-METRO,203B,S,0209000,0498257,0637950,0771125,0958350,AK,070,ALASKA,DILLINGHAM CENS,,20240101,0259000,2017
21820,00000,"FAIRBANKS, AK",203B,S,0311000,0498257,0637950,0771125,0958350,AK,090,ALASKA,FAIRBANKS NORTH,,20240101,0311000,2022
99999,00000,NON-METRO,203B,S,0282000,0498257,0637950,0771125,0958350,AK,100,ALASKA,HAINES BOROUGH,,20240101,0282000,2023
99999,00000,NON-METRO,203B,H,0327000,0524400,0671300,0811450,1008450,AK,105,ALASKA,HOONAH-ANGOON C,,20230101,0456000,2022
27940,00000,"JUNEAU, AK",203B,H,0481000,0553150,0708150,0855950,1063750,AK,110,ALASKA,JUNEAU CITY AND,,20240101,0481000,2023
99999,00000,NON-METRO,203B,S,0294000,0498257,0637950,0771125,0958350,AK,122,ALASKA,KENAI PENINSULA,,20240101,0295000,2022
28540,00000,"KETCHIKAN, AK",203B,S,0375000,0498257,0637950,0771125,0958350,AK,130,ALASKA,KETCHIKAN GATEW,,20240101,0422000,2022
99999,00000,NON-METRO,203B,H,0450000,0517500,0662500,0800800,0995200,AK,150,ALASKA,KODIAK ISLAND B,,20240101,0450000,2023
99999,00000,NON-METRO,203B,S,0098000,0498257,0637950,0771125,0958350,AK,158,ALASKA,KUSILVAK CENSUS,,20240101,0161000,2013
99999,00000,NON-METRO,203B,S,0156000,0498257,0637950,0771125,0958350,AK,164,ALASKA,LAKE AND PENINS,,20240101,0179000,2022
11260,00000,"ANCHORAGE, AK",203B,S,0420000,0498257,0637950,0771125,0958350,AK,170,ALASKA,MATANUSKA-SUSIT,,20240101,0420000,2023
99999,00000,NON-METRO,203B,S,0375000,0498257,0637950,0771125,0958350,AK,180,ALASKA,NOME CENSUS ARE,,20240101,0383000,2020
99999,00000,NON-METRO,203B,S,0281000,0498257,0637950,0771125,0958350,AK,185,ALASKA,NORTH SLOPE BOR,,20240101,0289000,2013
99999,00000,NON-METRO,203B,S,0176000,0498257,0637950,0771125,0958350,AK,188,ALASKA,NORTHWEST ARCTI,,20240101,0204000,2016
99999,00000,NON-METRO,203B,S,0300000,0498257,0637950,0771125,0958350,AK,195,ALASKA,PETERSBURG CENS,,20240101,0300000,2023
99999,00000,NON-METRO,203B,S,0258000,0498257,0637950,0771125,0958350,AK,198,ALASKA,PRINCE OF WALES,,20240101,0258000,2023
99999,00000,NON-METRO,203B,H,0489000,0586500,0750800,0907550,1127900,AK,220,ALASKA,SITKA CITY AND,,20230101,0510000,2022
99999,00000,NON-METRO,203B,H,0327000,0524400,0671300,0811450,1008450,AK,230,ALASKA,SKAGWAY MUNICIP,,20230101,0456000,2022
99999,00000,NON-METRO,203B,S,0258000,0498257,0637950,0771125,0958350,AK,240,ALASKA,SOUTHEAST FAIRB,,20240101,0258000,2023
99999,00000,NON-METRO,203B,S,0300000,0498257,0637950,0771125,0958350,AK,275,ALASKA,WRANGELL CITY A,,20240101,0300000,2023
99999,00000,NON-METRO,203B,S,0247000,0498257,0637950,0771125,0958350,AK,282,ALASKA,YAKUTAT CITY AN,,20240101,0366000,2013
99999,00000,NON-METRO,203B,S,0104000,0498257,0637950,0771125,0958350,AK,290,ALASKA,YUKON-KOYUKUK C,,20240101,0117000,2015
33860,00000,"MONTGOMERY, AL",203B,S,0191000,0498257,0637950,0771125,0958350,AL,001,ALABAMA,AUTAUGA,,20240101,0191000,2023
19300,00000,"DAPHNE-FAIRHOPE-FOLEY, AL",203B,S,0295000,0498257,0637950,0771125,0958350,AL,003,ALABAMA,BALDWIN,,20240101,0295000,2023
21640,00000,"EUFAULA, AL-GA",203B,S,0128000,0498257,0637950,0771125,0958350,AL,005,ALABAMA,BARBOUR,,20240101,0128000,2023
13820,00000,"BIRMINGHAM-HOOVER, AL",203B,S,0299000,0498257,0637950,0771125,0958350,AL,007,ALABAMA,BIBB,,20240101,0299000,2023
13820,00000,"BIRMINGHAM-HOOVER, AL",203B,S,0299000,0498257,0637950,0771125,0958350,AL,009,ALABAMA,BLOUNT,,20240101,0299000,2023
